#Quantes vegades vols fer f(x)?
#Quin vols que sigui el pas?
#quin vols que sigui h?
2.300000e-01 8.271448e-01 -3.552719e+00 2.352683e-01 5.600475e-02
2.310000e-01 8.235802e-01 -3.576400e+00 2.353265e-01 6.038299e-02
2.320000e-01 8.199921e-01 -3.599672e+00 2.353889e-01 6.430038e-02
2.330000e-01 8.163810e-01 -3.622535e+00 2.354550e-01 6.777015e-02
2.340000e-01 8.127472e-01 -3.644991e+00 2.355243e-01 7.080551e-02
2.350000e-01 8.090911e-01 -3.667042e+00 2.355965e-01 7.341971e-02
2.360000e-01 8.054132e-01 -3.688689e+00 2.356710e-01 7.562599e-02
2.370000e-01 8.017139e-01 -3.709933e+00 2.357476e-01 7.743759e-02
2.380000e-01 7.979935e-01 -3.730776e+00 2.358258e-01 7.886776e-02
2.390000e-01 7.942525e-01 -3.751220e+00 2.359052e-01 7.992972e-02
2.400000e-01 7.904912e-01 -3.771265e+00 2.359855e-01 8.063667e-02
2.410000e-01 7.867101e-01 -3.790915e+00 2.360664e-01 8.100180e-02
2.420000e-01 7.829095e-01 -3.810169e+00 2.361474e-01 8.103827e-02
2.430000e-01 7.790899e-01 -3.829031e+00 2.362283e-01 8.075917e-02
2.440000e-01 7.752516e-01 -3.847500e+00 2.363088e-01 8.017759e-02
2.450000e-01 7.713950e-01 -3.865579e+00 2.363886e-01 7.930655e-02
2.460000e-01 7.675205e-01 -3.883270e+00 2.364673e-01 7.815903e-02
2.470000e-01 7.636286e-01 -3.900573e+00 2.365448e-01 7.674794e-02
2.480000e-01 7.597195e-01 -3.917491e+00 2.366208e-01 7.508613e-02
2.490000e-01 7.557937e-01 -3.934024e+00 2.366949e-01 7.318639e-02
2.500000e-01 7.518516e-01 -3.950175e+00 2.367671e-01 7.106144e-02
2.510000e-01 7.478935e-01 -3.965944e+00 2.368370e-01 6.872390e-02
2.520000e-01 7.439198e-01 -3.981334e+00 2.369044e-01 6.618635e-02
2.530000e-01 7.399310e-01 -3.996346e+00 2.369693e-01 6.346124e-02
2.540000e-01 7.359273e-01 -4.010982e+00 2.370313e-01 6.056095e-02
2.550000e-01 7.319091e-01 -4.025242e+00 2.370903e-01 5.749778e-02
2.560000e-01 7.278769e-01 -4.039129e+00 2.371462e-01 5.428391e-02
2.570000e-01 7.238310e-01 -4.052644e+00 2.371989e-01 5.093142e-02
2.580000e-01 7.197717e-01 -4.065788e+00 2.372481e-01 4.745229e-02
2.590000e-01 7.156995e-01 -4.078563e+00 2.372937e-01 4.385840e-02
2.600000e-01 7.116147e-01 -4.090972e+00 2.373357e-01 4.016150e-02
2.610000e-01 7.075177e-01 -4.103014e+00 2.373740e-01 3.637322e-02
2.620000e-01 7.034088e-01 -4.114692e+00 2.374085e-01 3.250509e-02
2.630000e-01 6.992885e-01 -4.126006e+00 2.374390e-01 2.856850e-02
2.640000e-01 6.951569e-01 -4.136960e+00 2.374656e-01 2.457471e-02
2.650000e-01 6.910147e-01 -4.147554e+00 2.374881e-01 2.053487e-02
2.660000e-01 6.868620e-01 -4.157790e+00 2.375066e-01 1.645998e-02
2.670000e-01 6.826992e-01 -4.167669e+00 2.375211e-01 1.236090e-02
2.680000e-01 6.785267e-01 -4.177192e+00 2.375314e-01 8.248375e-03
2.690000e-01 6.743449e-01 -4.186362e+00 2.375376e-01 4.132980e-03
2.700000e-01 6.701541e-01 -4.195180e+00 2.375396e-01 2.516412e-05
2.710000e-01 6.659547e-01 -4.203647e+00 2.375376e-01 -4.064777e-03
2.720000e-01 6.617469e-01 -4.211765e+00 2.375315e-01 -8.126696e-03
2.730000e-01 6.575313e-01 -4.219536e+00 2.375214e-01 -1.215059e-02
2.740000e-01 6.533080e-01 -4.226960e+00 2.375072e-01 -1.612663e-02
2.750000e-01 6.490775e-01 -4.234040e+00 2.374891e-01 -2.004512e-02
2.760000e-01 6.448400e-01 -4.240777e+00 2.374672e-01 -2.389653e-02
2.770000e-01 6.405960e-01 -4.247172e+00 2.374414e-01 -2.767149e-02
2.780000e-01 6.363458e-01 -4.253228e+00 2.374118e-01 -3.136080e-02
2.790000e-01 6.320897e-01 -4.258945e+00 2.373787e-01 -3.495542e-02
2.800000e-01 6.278280e-01 -4.264325e+00 2.373420e-01 -3.844645e-02
2.810000e-01 6.235611e-01 -4.269370e+00 2.373018e-01 -4.182520e-02
2.820000e-01 6.192894e-01 -4.274080e+00 2.372584e-01 -4.508312e-02
2.830000e-01 6.150131e-01 -4.278459e+00 2.372117e-01 -4.821184e-02
2.840000e-01 6.107326e-01 -4.282506e+00 2.371620e-01 -5.120316e-02
2.850000e-01 6.064482e-01 -4.286225e+00 2.371093e-01 -5.404904e-02
2.860000e-01 6.021602e-01 -4.289615e+00 2.370539e-01 -5.674163e-02
2.870000e-01 5.978691e-01 -4.292680e+00 2.369959e-01 -5.927326e-02
2.880000e-01 5.935750e-01 -4.295419e+00 2.369354e-01 -6.163642e-02
2.890000e-01 5.892783e-01 -4.297836e+00 2.368727e-01 -6.382378e-02
2.900000e-01 5.849794e-01 -4.299930e+00 2.368079e-01 -6.582819e-02
2.910000e-01 5.806786e-01 -4.301705e+00 2.367411e-01 -6.764269e-02
2.920000e-01 5.763761e-01 -4.303161e+00 2.366726e-01 -6.926048e-02
2.930000e-01 5.720724e-01 -4.304300e+00 2.366026e-01 -7.067495e-02
2.940000e-01 5.677676e-01 -4.305123e+00 2.365314e-01 -7.187968e-02
2.950000e-01 5.634622e-01 -4.305633e+00 2.364590e-01 -7.286842e-02
2.960000e-01 5.591565e-01 -4.305829e+00 2.363857e-01 -7.363511e-02
2.970000e-01 5.548507e-01 -4.305715e+00 2.363118e-01 -7.417385e-02
2.980000e-01 5.505451e-01 -4.305291e+00 2.362374e-01 -7.447895e-02
2.990000e-01 5.462402e-01 -4.304560e+00 2.361629e-01 -7.454490e-02
3.000000e-01 5.419361e-01 -4.303521e+00 2.360884e-01 -7.436635e-02
3.010000e-01 5.376332e-01 -4.302178e+00 2.360142e-01 -7.393817e-02
3.020000e-01 5.333319e-01 -4.300532e+00 2.359406e-01 -7.325538e-02
3.030000e-01 5.290323e-01 -4.298584e+00 2.358678e-01 -7.231319e-02
3.040000e-01 5.247348e-01 -4.296335e+00 2.357961e-01 -7.110702e-02
3.050000e-01 5.204397e-01 -4.293788e+00 2.357257e-01 -6.963244e-02
3.060000e-01 5.161473e-01 -4.290943e+00 2.356569e-01 -6.788522e-02
3.070000e-01 5.118579e-01 -4.287803e+00 2.355900e-01 -6.586131e-02
3.080000e-01 5.075718e-01 -4.284368e+00 2.355253e-01 -6.355685e-02
3.090000e-01 5.032893e-01 -4.280641e+00 2.354630e-01 -6.096814e-02
3.100000e-01 4.990106e-01 -4.276622e+00 2.354034e-01 -5.809169e-02
3.110000e-01 4.947361e-01 -4.272314e+00 2.353469e-01 -5.492418e-02
3.120000e-01 4.904661e-01 -4.267718e+00 2.352937e-01 -5.146246e-02
3.130000e-01 4.862008e-01 -4.262835e+00 2.352441e-01 -4.770358e-02
3.140000e-01 4.819405e-01 -4.257667e+00 2.351984e-01 -4.364476e-02
3.150000e-01 4.776856e-01 -4.252215e+00 2.351569e-01 -3.928340e-02
3.160000e-01 4.734362e-01 -4.246482e+00 2.351199e-01 -3.461707e-02
3.170000e-01 4.691927e-01 -4.240467e+00 2.350878e-01 -2.964354e-02
3.180000e-01 4.649553e-01 -4.234174e+00 2.350607e-01 -2.436073e-02
3.190000e-01 4.607244e-01 -4.227604e+00 2.350391e-01 -1.876677e-02
3.200000e-01 4.565002e-01 -4.220757e+00 2.350233e-01 -1.285993e-02
3.210000e-01 4.522830e-01 -4.213636e+00 2.350135e-01 -6.638668e-03
3.220000e-01 4.480731e-01 -4.206243e+00 2.350101e-01 -1.016272e-04
3.230000e-01 4.438706e-01 -4.198577e+00 2.350134e-01 6.752390e-03
3.240000e-01 4.396760e-01 -4.190642e+00 2.350237e-01 1.392441e-02
3.250000e-01 4.354894e-01 -4.182439e+00 2.350414e-01 2.141527e-02
3.260000e-01 4.313112e-01 -4.173969e+00 2.350667e-01 2.922568e-02
3.270000e-01 4.271416e-01 -4.165234e+00 2.350999e-01 3.735613e-02
3.280000e-01 4.229808e-01 -4.156235e+00 2.351415e-01 4.580699e-02
3.290000e-01 4.188292e-01 -4.146973e+00 2.351917e-01 5.457843e-02
3.300000e-01 4.146870e-01 -4.137451e+00 2.352508e-01 6.367047e-02
3.310000e-01 4.105544e-01 -4.127670e+00 2.353191e-01 7.308298e-02
